Date;Time;Temp;Indice UV;UV REF;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:42 a. m.;24;3061;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:44 a. m.;24;4023;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:46 a. m.;-127;2719;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:48 a. m.;24;2504;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:50 a. m.;24;3125;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:52 a. m.;23,94;3071;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:54 a. m.;24;3110;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:56 a. m.;23,94;3554;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:58 a. m.;23,94;2490;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:00 a. m.;23,94;2539;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:02 a. m.;23,94;3139;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:04 a. m.;23,94;3173;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:06 a. m.;23,94;2690;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:08 a. m.;23,94;3798;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:10 a. m.;23,94;2670;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:12 a. m.;23,94;3066;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:14 a. m.;23,94;2685;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:16 a. m.;23,94;3222;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:18 a. m.;23,94;3481;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:20 a. m.;23,94;2495;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:22 a. m.;23,94;3281;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:24 a. m.;23,94;3027;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:26 a. m.;-127;3330;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:28 a. m.;23,94;3193;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:30 a. m.;23,94;2504;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:32 a. m.;23,94;3212;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:34 a. m.;23,94;3666;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:36 a. m.;23,94;2626;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:38 a. m.;23,94;3212;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:40 a. m.;23,94;3959;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:42 a. m.;23,94;2973;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:44 a. m.;23,94;2534;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:46 a. m.;23,94;3017;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:48 a. m.;23,94;2534;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:50 a. m.;23,94;3100;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:52 a. m.;23,94;3730;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:54 a. m.;23,94;2602;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:56 a. m.;23,94;3139;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:32:58 a. m.;23,94;3173;3305,66;;;;;;;;;;;;;;;;;;;;;
